Sample	G101	G102	G103	G104	G105	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G123	G126	G130	G132	G133	G134	G135	G136	G137	G138	G139	G140	G142	G143	G144	G301	G303	G304	G305	G306	G307	G308	G309	G310	G311	G312	G313	G314	G315	G317	G318	G319	G320	G322	G323	G324	G325	G327	G328	G332	G334	G335	G336	G337	G338	G340	G341	G342	G345	G347	G350	G352	G354	G357	G359	G360	G361	G362	G363	G365	G366	G367	G368	G370	G372	G373	G374	G375	G376	G379	G381	G382	G383	G384	G385	G387	G389	G390	G391	G392	G393	G394	G396	G397
"LEUCINE, N,O-TMS   1  M/z158"	51910	-5314	95020	-54016	28817	91993	160784	-178026	478515	-109339	-226431	373683	-96726	-18700	-77243	202792	-99443	256129	168125	-28286	82676	-35189	34831	210772	478282	82766	47448	108538	-320773	-284083	128031	-46259	-350097	214997	121552	45529	-94574	20323	97675	-65835	28218	133623	347942	146417	86966	418161	328872	397734	-36295	255204	-4470	-31485	-136285	-134285	-137930	192961	-35864	-95068	-16536	62937	157575	249449	60595	-65640	155236	206388	-12041	49886	196198	769888	195983	-175750	72486	196294	-112906	5707	-262959	6963	161969	-96980	-6935	162273	226218	-80170	-9011	381965	199273	72501	-102760	-198062	-109851	234026	-261733	6177	-164465	236977	21538	-169966	250035	95911	181452	80764
"LYSINE,N,N,N,O-TMS_2   1"	-75090	210880	996224	99581	-53644	-235766	-268367	-403779	602081	-228761	82951	-111756	-234084	611466	405034	551560	-143241	259962	-7583	-309997	156142	57495	326900	635633	968699	-103127	-487018	388711	203783	-847801	-243862	-67185	-417372	845942	223887	-31263	-322153	-41940	61902	-68376	314575	106342	402975	154268	296933	502824	506103	558878	-176177	749573	-228757	-647377	-686980	312347	-324092	546672	-327936	830833	3259	-187949	479005	481770	-197546	38889	86257	279061	-47411	282976	607461	660902	-82320	-255304	79446	472903	-229744	207033	-338434	90065	11556	-325225	-83739	483687	439279	196414	275491	639707	846321	323225	-290102	-555752	-207112	192757	-584192	-134253	-372720	486528	-82697	-254833	291674	-66586	453319	-180369
"LYSINE,N,N,O-TMS_1   1  M/z102"	-148	-117	295	1160	-3926	1281	184	-578	2516	-210	63	632	229	386	-5	1162	-224	180	-64	2099	874	917	1500	931	2065	-55	-276	1968	-28059	-2123	469	2644	-27	582	-2022	-1208	-2606	-4	121	-1713	743	180	1326	-83	111	946	-378	-303	495	-120	45	108	15727	1510	-222	8401	-8191	-3794	-2010	160	2869	515	-875	386	1555	688	336	14	675	787	-913	-820	468	789	6064	618	11	-318	851	-336	-1079	184	56	637	352	503	4738	701	-35432	90	-1833	477	-9501	-931	-336	640	456	1119	242	-229	4240	-477
"LYSINE,N,N,O-TMS_3   1"	-1662	-198	3443	-2333	-1738	-1416	-1947	523	5100	-527	1972	4198	-1152	-1570	-3783	1314	-2548	136	2233	-448	2179	-1071	-3698	3063	19090	2113	1556	922	8250	-3367	2091	-3459	2078	24016	453	1764	-1652	-516	2657	-2518	1293	2728	87	633	674	6787	4886	3505	-1220	4625	974	-2577	-2283	2273	-1664	2068	-1559	268	-3339	-832	3044	1934	-1689	-399	2787	5473	1837	2805	16	7095	-698	-4852	-144	969	524	469	-5664	2736	900	-3597	281	262	1219	6208	-609	-90	1303	3150	476	-9962	-739	825	-6044	-1010	316	2005	-1016	-6924	13849	12586	1776	588
LYXOSE-MEOX 4TMS_1   1  M/z104	7529	-221	-711	79	900	154	-2146	1726	-78	141	240	-468	276	99	-257	-161	34	-634	-252	39	-242	76	295	-416	106	55	-79	311	-318	-94	-4820	-22	243	-529	-45	4341	-10	-532	100	37	-2263	-81	140	-127	185	-34	916	-2554	369	21	91	-236	-266	86	-1995	651	-218	175	-10	1101	-336	-1012	-162	-1579	-78	165	989	113	71	-172	-1585	66	-228	-226	1754	279	113	-120	45	349	-1960	-74	-7157	260	122	-369	-244	1398	2348	-291	-177	14	-68	7	-26	-430	116	-326	-1870	-158	-1981	-920
MALIC ACID-3TMS   1  M/z245	284	35	855	-728	-552	-456	-745	-581	-316	-305	-151	2933	401	68	-1195	567	49	634	-336	-753	581	-425	-266	-1381	776	534	840	-27	-1161	-216	658	103	-270	-612	685	-730	351	-225	-112	160	466	182	336	437	-505	-178	-62	-160	180	-28	158	-58	-138	-26	-258	384	-24	-435	-238	1048	-855	312	129	-287	865	-284	388	144	-56	-298	-41	300	-339	-699	802	-228	543	-479	890	-136	82	-805	-494	85	-951	-312	-168	32	718	-29	-166	633	-178	149	-319	703	311	-793	1311	812	602	-131
MALTOSE-MEOX 8TMS_1   1  M/z361	-953	-1925	-183	-1531	348	-786	-1423	-1806	-2100	-782	1336	2522	42	-1270	-1326	-943	-181	954	421	1015	-299	-490	582	282	414	1028	62	-4	-720	-4567	-266	48	-1324	-478	1467	-1222	-290	586	3909	1760	713	-84	-2238	-248	273	-234	-534	-16	-328	329	162	-1485	474	209	-648	391	-1658	266	-962	-963	-437	-147	806	-608	127	1044	-1672	63	-343	544	474	-446	-651	-735	-11	-2284	-335	465	3141	-937	-1305	-757	826	120	-710	189	-440	342	-822	-283	1167	444	1605	-270	-808	172	27	17	1395	-155	-197	1296
METHYL HISTIDINE-2TMS   1  M/z168	-241	0	6046	-337	-27	0	-367	654	10715	37	-1222	4301	-3928	743	1040	-2631	37	663	350	-492	-1118	0	-276	251	11449	-1967	-33	-119	122	-1102	-1134	2267	622	18679	-156	977	-2309	-327	-4094	-801	-242	96	4388	-321	-56	12271	3492	-490	186	2161	-1948	387	336	-370	191	2074	1420	4576	-126	-141	-361	1527	-89	242	5597	-122	961	1030	-1242	8890	-3293	2512	-491	-703	9258	0	-1152	-60	0	9	-994	533	1646	1118	0	-647	1563	555	-2935	93	216	1644	-2653	-3061	262	-407	-28	-1610	10771	3338	-1739	-68
"N-ACETYL GLUCOSAMINE-MEOX N,O,O,O,O-TMS_2   1  M/z159"	-1102	359	972	-375	-1282	-642	-193	-82	-569	-157	378	194	201	713	313	-435	-437	32	-660	985	-317	413	483	611	-250	-193	-515	548	-168	-1768	-652	-466	-639	247	-7	510	600	628	66	-514	419	992	-651	-299	74	-101	-153	155	-630	-337	277	764	85	634	183	-153	-36	-458	40	488	-603	302	-609	-64	266	-40	1639	-200	409	-1864	-595	482	-975	-483	-316	-1411	-1086	-678	37	1483	695	230	-144	385	1172	-895	-260	-245	1063	-168	885	-579	630	242	-84	502	-543	-273	624	-1452	-107	-235
NAPROXEN-TMS   1  M/z303	-287	-71	119	-258	-127	-174	-252	281	-130	226	-14	199	285	-81	-27	-130	5	-34	105	260	-87	-260	112	-149	211	77	-108	-48	24	-29258	155	-241	200	130	-229	257	474	-122	253	-238	49	279	-313	524	-140	-77	224	-244	-109	56	-445	207	-141	148	47	-26	-181	1845	127	202	98	-221	-88	-28	87	82	536	-189	-73	-277	-439	150	-201	-27	-203	-138	-155	-38	-220	241	115	27	155	75	183	-351	-622	-128	131	-42	98	140	64	198	-182	107	23	-60	-8	-177	164	44
NIGEROSE-MEOX  8TMS_2   1  M/z361	122	-270	-423	-237	-412	-437	-405	-768	-194	-248	92	102	465	-15	200	-245	-286	730	-13	13	-324	-236	56	429	-302	474	-183	99	-476	-809	-291	-133	-464	-23	428	23	-175	-249	1107	346	42	-414	-197	-92	169	100	-143	-481	-136	13	494	-997	-320	777	-530	-188	-689	-150	-877	-177	-744	328	39	43	9	375	-381	-129	-677	583	25	-109	17	-458	248	-787	-38	-264	872	-434	-84	-397	208	-126	-707	-4	26	20	-94	-72	437	265	496	-252	-581	-235	-441	174	204	168	69	-488
"OCTADECADIENOIC ACID, 9,12-(Z,Z)-TMS   1  M/z337"	10687	4412	2188	-9414	-7095	-3060	-2368	180	-1683	4619	281	22985	10562	-10185	-2190	1118	2901	6763	5579	-269	-4626	4467	5683	13728	-3379	-7175	-1226	4658	13974	6432	9306	-2185	521	3340	6840	-3325	5245	-6883	-1902	1612	-387	-4393	6195	5048	-3682	-24528	1190	6907	-7144	-3381	-12588	1721	11837	2355	3125	-6988	9337	-5956	-6599	-1258	-3393	588	-24663	5755	2853	-1607	10800	-3280	-2399	-14671	-612	2885	-2608	-9331	1757	9894	2462	1654	-9246	-8056	834	-5763	5804	2544	2099	2359	-8909	1737	-1077	3400	-1508	-5997	12674	-3687	17841	659	25403	12267	8282	3315	-8273	-5160
OCTADECANOIC ACID-TMS   1  M/z313	1891	1712	-323	-801	-1877	179	657	-575	-1099	488	-222	1854	130	-283	-1025	851	268	-9	501	-1026	-1041	205	1645	3109	-1096	-1158	-423	480	1375	2032	203	142	-847	283	22	-2255	1585	-687	-391	483	-793	-833	105	71	-693	-3924	-35	1532	-1771	-1228	-883	-97	2441	-1005	533	-767	1729	-857	-1577	530	-532	451	-2593	1272	647	18	1839	-3430	-1056	-2679	1508	60	-1146	-2049	680	1115	1862	-103	-3257	-1361	650	-435	2782	-366	414	284	-2146	1422	40	711	-165	-1366	1116	-670	2745	535	4837	1386	204	399	-1503	-2035
"OCTADECENOIC ACID, 9-(E)-TMS   1  M/z339"	53881	35649	-815	-36314	-36336	12796	-2943	-9399	-4924	16261	-5935	87397	45909	-31622	-7928	6165	763	65649	29906	-11838	-15939	19160	22293	68459	-11520	-46577	-8647	14119	58826	46397	44133	239	-11379	10564	18901	-1638	41241	-38870	-8814	4501	1561	-35586	20867	13819	-12100	-132173	-13581	22253	-47708	-25250	-39022	-3422	74985	7894	14621	-50980	52973	-1535	-35811	-3276	-16653	10984	-114898	49818	-957	-2962	73408	-39771	-35736	-60419	-10535	9442	-24720	-43068	444	15322	19242	9087	-88717	-47342	21846	-22056	15297	14545	15916	-26731	-35691	18720	-1358	21760	-10300	-49034	48306	-19633	102478	-11280	103013	70200	17361	-157	-39432	-42727
"OCTADECENOIC ACID,-9-(Z)-TMS   1  M/z222"	16624	10120	95	-9950	-9083	4905	-376	-3383	-2595	4901	-1876	25930	13104	-8903	-2338	2610	305	18438	8924	-3713	-4266	5662	6520	21668	-3516	-14879	-2832	4806	18949	16284	13983	-880	-3453	3435	4895	-1555	10871	-10145	-2123	1548	460	-10476	6065	4030	-3541	-42544	-3903	6862	-14323	-8523	-11799	-1107	22125	2641	5333	-15483	17017	400	-9975	-1121	-5352	4198	-34408	15951	-5	-447	24233	-11359	-11917	-18253	-3434	2576	-7932	-14646	217	4736	6576	2007	-25875	-15572	7234	-5685	5158	4451	4862	-7959	-11071	5914	-423	6465	-4200	-14915	15948	-6154	30089	-3145	31083	23079	5929	-715	-13049	-12679
"ORNITHINE,N,N,N,O-TMS_2   1  M/z420"	-673	-23	209	3786	-2064	-1024	-813	-694	3039	-1977	630	3949	-2248	679	484	-72	-525	2067	32	2141	1736	557	726	1364	5235	-879	-2795	-286	2166	-2193	-95	-180	-1019	1557	1592	-1105	-515	-1235	3438	-1077	1479	2489	2428	-287	735	2279	1050	2964	-1248	-447	-2292	-2471	-4208	985	607	2741	-817	244	349	1384	-1185	1594	3303	-1244	1310	2049	839	6426	1365	2221	739	-964	-672	927	-905	-871	-4045	-2381	6346	-2490	-1219	2187	243	1812	122	5088	3596	1747	-593	-3231	370	1840	-1338	-528	-1534	1908	-215	279	5687	129	795	-1013
"ORNITHINE,N,N,O-TMS_1   1  M/z144"	1751	350	44	1459	-3419	1798	164	866	8335	-220	-557	947	-1008	1938	844	1300	-562	1020	637	2838	1130	2455	1311	1406	21356	-1374	-1652	2147	-12878	-4546	435	3638	467	8446	247	-228	-1993	-883	1453	-1423	690	1972	2304	-665	1485	5702	1255	1426	-265	-1314	-531	223	3835	1032	833	4888	-4259	-2776	-1695	780	1888	578	-545	136	1273	1217	421	922	619	4641	-26	-429	875	1956	1269	1568	-1573	499	-1126	-1123	-1388	3945	-659	1811	1303	500	3955	2051	-10801	-1102	-1557	547	-1685	412	-425	2054	1299	-48	1082	-1417	3396	-1145
"PHENYLALANINE,N,O-TMS   1  M/z268"	306	767	-216	-350	-429	624	-161	-505	979	-301	778	557	-236	-102	-425	459	-38	369	67	-212	-353	-226	5	434	1474	462	-543	172	-1149	-805	499	194	36	73	304	-393	76	-371	556	-696	-396	10	1388	835	-95	842	1028	1081	412	502	139	-625	-416	-260	-512	614	-102	-366	104	340	689	1092	1119	-619	617	853	-425	383	354	-415	178	-589	479	501	79	-375	-776	224	699	-1256	-338	-215	886	-92	-13	373	565	515	-170	-579	140	208	-595	-497	-585	748	-321	-713	397	576	646	680
"PYROGLUTAMIC ACID,N,O-TMS   1  M/z159"	-873	996	1691	-425	-2480	-1193	-1851	1363	1575	503	1338	763	803	-1370	-217	1612	-1242	38	2732	1634	-147	1325	636	2040	1354	2603	-899	1588	-3346	-813	115	1022	-743	3020	-511	331	1658	134	2029	-1013	24	4968	654	-397	1173	545	1216	2394	-864	-1538	-661	-2124	2409	2237	-1819	3172	-835	765	-2108	607	117	1432	57	-1779	839	159	2409	-1050	1743	-209	2315	425	1342	2433	-590	607	1953	618	-24	-1003	-1483	3980	1131	-1136	-27	3052	1334	232	-2662	-2363	-605	720	-1124	2199	-2916	572	-280	-580	1550	250	2427	-934
SALICYLIC ACID-2TMS   1  M/z268	-592	-432	-286	98	498	-281	410	338	-24	110	20	-441	-320	-410	-33	370	619	-117	-35	-133	456	-106	-219	47	-421	-521	-360	-435	-118	225	729	-331	33	-14	249	523	-287	124	-270	-241	-316	-58	-34	-404	-171	1	-198	-793	-315	608	-558	-393	442	-290	-278	-227	356	-589	138	-358	-799	-255	-256	160	-103	-587	42	345	-108	-112	-489	-32	19	219	-278	-306	124	-189	116	-309	-134	233	-87	290	-175	35	-54	-59	31	-9	-435	-217	-346	-30	-135	-9	-360	-343	464	-1	182	305
"SERINE,N,O,O-TMS   1  M/z307"	-1208	-189	988	-371	-523	-223	-488	-782	768	32	443	407	-111	374	323	1087	-813	1111	507	1123	258	-438	306	624	1700	996	-1330	669	-1391	-1349	-28	370	-283	-87	-232	152	215	-1292	1220	-327	-402	283	-194	-354	330	-177	1348	1199	-103	-300	-1072	-1431	-77	1029	118	745	-1292	-781	-484	126	413	311	730	-114	39	1392	52	379	322	1115	473	190	-900	837	-759	-69	614	-403	367	-695	-439	2542	180	-88	-647	1038	671	568	-1872	-927	102	-259	-1073	-1377	-791	1631	1138	-248	781	-26	1342	-1123
SORBOSE-MEOX 5TMS_1   1  M/z364	-1352	790	1859	-129	-88	205	20538	975	-522	2831	-14153	656	453	902	-21434	10939	3584	-21425	-14165	-369	2447	-13655	-1053	-23640	-1024	-5867	51371	370	-4043	834	-776	-958	11342	-4579	1933	2888	463	84	-410	430	-33	6693	-716	1319	-22228	-681	2236	-11296	8731	4659	11741	-184	557	-1464	-16999	1135	3158	-845	18511	18292	668	-4053	5800	-4610	-4734	1075	-1017	119	1945	-1201	2456	9972	-82	1375	456	-100	2794	548	323	14347	-785	25	-21691	2846	-12360	-1343	-431	1573	-149	-6362	319	11932	796	297	738	4702	128	-2295	11400	16546	6033	-2579
SORBOSE-MEOX 5TMS_2   1	-31516	20913	50840	-6357	-14790	24473	492394	20860	-12825	106128	-402786	20540	14979	55472	-621271	315422	125410	-590674	-412027	1640	81425	-352410	-33195	-641173	-44854	-114851	1409619	12188	-97385	23881	-40285	-19232	357784	-118384	69986	97169	3842	736	422	22828	2307	190384	-8053	39960	-644631	-20507	60075	-337256	283169	162260	377809	-2208	2593	-39937	-476058	47343	67662	-31003	550456	496872	20350	-154187	197456	-147601	-120458	43196	-30476	8864	63773	-49599	61488	253116	-11679	33873	20077	-8200	95640	24400	28355	369747	-24502	-5627	-584084	69492	-327295	-44983	-6020	39172	-10346	-180010	11512	374955	28967	15710	12635	154427	454	-76148	310422	448579	154074	-75500
SUCROSE-8TMS   1  M/z362	-1175	-6335	-781	378	-29	468	395	-311	-2109	549	146	188	-95	-24	-271	709	-90	276	-350	-70	-536	-915	-62	-387	462	102	-176	-3	-58	-2521	-121	-364	274	200	-637	208	-411	1597	1270	-1651	-152	-4213	-1077	-2546	-1370	319	-2616	435	3095	596	614	-83	1108	-655	363	103	68	-847	4182	2599	-713	-1533	-46	-424	-24	-291	-1046	-919	212	-386	1757	177	126	-3053	-865	-1963	1700	481	1525	299	-502	-713	488	261	-2472	-306	-155	581	968	-1204	-392	1575	495	355	301	798	169	258	1177	2479	-132	-310
TAURINE-3TMS   1  M/z328	-101	-51	0	-605	-227	95	-114	0	47	-152	548	134	-56	109	70	53	-18	0	-213	4	122	-475	502	2628	1014	-2032	4769	463	3942	-443	504	3	97	-1644	-158	0	0	-32	703	0	3372	-162	-557	-906	150	411	560	-486	0	0	99	-141	811	-43	-1064	-127	-1408	-114	65	-621	251	46	605	-647	1964	-226	2388	2031	-935	-835	-1573	-1308	-668	-744	-327	-998	-304	-979	7211	-890	-588	-843	753	838	-1726	-115	312	1314	-1538	-1217	459	556	4	-2418	-39	88	-1146	-714	1453	8473	514	767
"THREONINE,N,O,O-TMS   1  M/z293"	-5618	1091	-482	-1199	-1393	-3307	-312	567	3282	310	-2708	-1481	-2816	919	-842	706	-2615	1820	1293	-1042	2230	-797	2416	2870	10065	-1978	-5868	4301	-7518	-10103	-2803	5201	-3540	5132	3466	-3438	-2362	-9680	-1342	-530	-2133	8492	501	175	4151	3459	1822	1136	-8336	4164	-6926	-4197	-2673	1006	-1993	6909	-7193	-5506	-4037	2313	122	5381	4920	-3982	55	5548	-202	12880	-2630	7154	-3422	-3832	308	1297	-4261	-1052	-5271	-2510	-2044	-5943	-359	10050	5634	1370	-4042	-1233	5708	2396	-9929	-8886	-4069	-436	-5272	-14119	557	6314	4729	-3538	6092	1066	7099	-12811
"TRYPTOPHAN,N,N,O-TMS   1  M/z303"	-1216	-370	-205	-64	-585	-741	-644	-183	-602	-37	728	-42	-225	-849	-364	13	-1037	567	-185	-402	-289	-631	-63	-120	916	93	-1081	-195	-2021	-190	54	-1174	-278	1558	50	-450	195	-120	-82	-631	-97	359	-60	-363	-897	1194	215	550	236	1379	85	-765	-577	-402	-210	819	-614	-2912	-233	312	-760	645	-712	-88	1459	601	154	-553	363	-149	-741	-2420	-330	423	-699	-735	-579	-521	259	-950	-601	98	623	-350	-103	-231	325	24	-1156	-665	-514	602	-488	-922	-483	420	-544	-1181	331	-153	705	-35
"TYROSINE,N,O,O-TMS   1  M/z382"	146	-406	1587	-1156	-225	2739	-2295	292	2013	-1384	-810	695	-1982	-1330	192	348	-1734	1559	325	1036	305	-420	352	2079	5349	-471	-2346	297	-3107	-3558	821	-1634	-4012	1530	-1498	-220	-1698	558	490	-843	-121	2585	1409	559	882	2710	1078	2648	-766	1225	-112	-1890	-2871	-983	-298	816	-1061	-2566	-1126	99	2396	801	442	-695	1783	1672	-519	778	1698	1761	74	-3118	-730	1727	-2146	-680	-4868	-2701	1424	-2582	-1029	2009	1662	14	-565	2961	4191	2162	-2127	-2090	-1157	2667	-4502	1130	370	2342	-34	-689	1650	646	575	118
"URIC ACID-N,O,O,O-TMS   1  M/z72"	-20250	-635	15757	-34844	-35895	-44900	-1408	-38681	11328	13733	-7538	-4683	-23825	-19324	-16314	-23999	-52195	498	22569	-42129	-8604	-5057	-23269	11250	-9791	-49439	-17333	1841	-48907	8047	-14760	7221	14544	18872	15767	-6353	1606	-6397	-30417	-5256	-5193	-24379	19959	-3543	-17629	-12797	16017	-16916	7460	22473	-25	-9329	16939	-26083	-7298	18647	32788	4321	1345	-4940	-891	2437	-1868	9067	-11534	6359	9638	-3551	-8758	-62709	-14897	11964	4326	-567	-6540	8435	23319	-8474	-24765	25211	-1804	-6884	-3059	11261	-17430	-30104	17675	11965	-29638	-23070	-2570	-4935	13767	-18986	-26887	2219	12292	-10916	4305	-16793	-8621	-11803
"VALINE,N,O-TMS   1  M/z246"	-115	1101	6179	-948	-7320	295	-3873	-3678	8725	-3678	1429	7393	-3210	910	-2837	3036	-2076	2381	368	-2011	511	-513	983	5278	10247	-1183	-3930	1896	-6443	-5923	127	-1833	-5434	9533	4418	-211	-4466	-888	-754	-1427	-1510	6050	6117	1993	-579	10892	3375	5082	-455	8093	-812	124	-2994	-5349	-3692	4324	326	86	-3611	1090	4614	2721	703	-2101	7175	1720	-22	2777	2976	6379	2540	-5845	1722	3646	-4783	-1253	-5609	-1621	2157	-3177	-1973	6490	4335	232	512	2010	5423	2196	-1698	-5008	-6937	7946	-6465	-4085	-817	305	-402	-5495	5865	5393	4983	-534
 Tryptophan_Ri2161Mz202	-3673	318	-978	-1968	-1651	-2836	-1368	-1694	-2251	-1050	-960	309	-36	-1026	-574	-1847	-1635	229	-488	-2390	-1311	-1714	125	-886	-1337	-287	-1408	-375	-344	1696	-660	-1977	171	976	-820	-1378	1198	-111	-1201	-656	-1270	1161	1912	-187	-846	-341	-2222	-664	-72	3670	918	-114	-372	-719	-1042	-240	58	-979	-1324	1465	1829	144	297	150	794	-331	-129	288	-702	-3789	-684	-1456	-239	-1949	-501	-909	-407	-1469	693	-484	-1263	-191	338	744	110	-686	243	792	-220	-533	-623	362	-3602	0	113	-1142	-1216	700	-1474	100	-805	-611
Benzenebutanoic_acid_Ri2182Mz192	-1610	-138	784	-998	211	-103	88	-335	400	-1350	-135	485	143	553	829	142	-405	2371	-789	589	252	-975	675	50	463	2087	-529	176	-614	325	680	-601	-214	738	-149	1250	619	1006	270	34	-277	-614	77	674	-805	1290	-293	-371	-360	2074	20	-558	-953	-523	-45	-745	440	-522	-4	703	674	-193	87	1066	-518	-65	293	587	-302	94	369	-1256	351	146	-279	533	1185	1367	1221	-426	73	-386	-89	401	-513	-655	2284	805	-967	-748	-427	222	-545	181	100	1014	-981	5915	-468	-338	211	401
Myo_Inositol_phosphate_Ri2399Mz299	649	-211	-523	-797	-313	-1291	-744	583	-212	-1606	1032	485	478	-237	89	-465	1048	-949	546	-875	-1307	-371	365	780	122	-256	-578	31	825	-146	73	-869	-424	708	-248	-565	-310	-744	-243	-602	189	770	-66	218	-307	882	359	420	-989	-414	161	-610	-506	-555	321	1118	46	-519	221	104	491	965	-8	35	231	-179	573	98	962	-745	-238	-275	-186	-877	-94	-498	-139	-1051	-22	204	-492	-864	-173	-361	-100	68	-465	385	-305	-501	-1464	-427	249	-1118	89	-1209	123	1089	1103	-131	1045	-54
Kynuerine_Mz192  Time: 373.01 to 374.92 Mass: 192 to 192	-744	-154	259	12	-500	-56	-404	-142	370	-115	130	-294	38	758	45	159	-291	800	-55	328	265	-736	79	283	145	497	-333	119	-286	135	-38	-249	293	-43	35	521	371	251	275	-42	-212	-274	-292	535	-469	598	9	-260	77	738	-143	-16	-295	13	-3	-165	57	-54	134	289	104	26	95	428	-35	-32	222	-52	83	-197	110	-500	110	138	35	316	262	-10	378	-140	215	-369	261	286	-43	-306	820	359	-380	-233	-261	98	82	118	-133	364	-311	2667	-354	-118	224	879
